SampleID,SampleType,Date,GeneralLoc,Latitude,Longitude,ResidentMi,Collector,Clusters,AreaCollar,Elevm,RASTERVALU
27,pellets,7/15/2014,Davis Creek,46.74208,-113.97933,Mig,TH,12,"34915, 34916, 34934, 34936",1336.52,4
28,pellets,7/30/2014,MPG sainfoin,46.70837,-114.03807,Res,TH,11,"34905, 34916, 34936",988.42,6
29,pellets,7/30/2014,Ski area,46.69172,-114.10612,Res,TH,10,"34906, 34914, 34919",1154.55,3
30,pellets,7/31/2014,Eightmile,46.66803,-113.95937,Res,TH,18,"34917, 34925, 34933",1274.77,2
31,pellets,7/31/2014,Davis Point,46.71269,-113.94581,Mig,CJ,18,"34921, 34928, 34932, 34934",1694.03,3
32,pellets,8/14/2014,MPG alfalfa,46.6859,-114.03638,Res,TH,13,"34915, 34916, 34921, 34928, 34932, 34934, 34936",1004.17,7
33,pellets,8/14/2014,Maclay/ski area,46.72954,-114.10205,Res,TH,15,"34906, 34919, 34935",1163.87,3
34,pellets,8/14/2014,Allen Creek,46.78749,-113.84583,Mig,CJ,10,NA,1719.55,3
35,pellets,8/15/2014,Eightmile,46.66786,-113.95663,Res,TH,20,"34917, 34925, 34933",1345.96,3
36,pellets,8/27/2014,Sawmill Creek,46.45443,-113.87969,Mig,CJ,9,"34903, 34907, 34913",1919.02,3
37,pellets,8/27/2014,MPG alfalfa,46.68645,-114.03596,Res,"TH, KP",6,"34905, 34915, 34916, 34921, 34928, 34932, 34934, 34936",1009.5,7
38,pellets,8/27/2014,Ski area,46.70657,-114.11369,Res,"TH, KP",15,"34906, 34914, 34919",1284.95,3
39,pellets,8/29/2014,Allen Creek,46.80849,-113.87782,Mig,CJ,15,34912,1832.26,6
40,pellets,9/10/2014,Burnt Fork,46.47142,-113.94802,Res,CJ,10,"34904, 34940",1279.39,6
41,pellets,9/11/2014,MPG,46.6701,-114.01886,Res,CJ,11,"34905, 34915, 34916, 34921, 34928, 34930, 34932",1057.63,7
42,pellets,9/12/2014,Ski area,46.69145,-114.12659,Res,TH,11,"34906, 34914, 34919",1605.13,3
43,pellets,9/12/2014,TNC/Buckboard,46.68916,-113.949,Mig,TH,11,"34917, 34925",1548.04,4
44,pellets,9/25/2014,Burnt Fork - Alder Cr,46.46552,-113.84045,Mig,CJ,11,34929,2009.79,3
45,pellets,9/25/2014,Head of Allen Creek,46.76622,-113.83851,Mig,CJ,10,NA,1884.22,3
46,pellets,9/26/2014,Ski area,46.6886,-114.12859,Res,TH,12,34914,1659.19,3
47,pellets,9/26/2014,MPG,46.7062,-113.99543,Res,TH,13,"34916, 34928, 34930",1539.57,3
48,pellets,10/9/2014,Corley Gulch,46.44165,-113.93928,Res,CJ,10,34907,1543.54,3
49,pellets,10/9/2014,Allen Creek,46.77915,-113.82232,Mig,CJ,10,34920,1385.71,3
50,pellets,10/9/2014,River bottom (Sapphire Ranch),46.72793,-114.05669,Res,TH,5,"34905, 34915, 34916, 34921, 34930, 34932, 34934, 34936",963.7,2
51,pellets,10/10/2014,Ski area,46.68783,-114.11618,Res,TH,15,"34914, 34935",1343.18,3
